model_name,drift_name,feature_selector_name,learning_threshold,iteration,accuracy,drifts_detected,model_args,ticker
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,1,0.516,2,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,2,0.516,2,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,3,0.516,2,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,4,0.516,2,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,5,0.516,2,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,1,0.529,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,2,0.529,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,3,0.529,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,4,0.529,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,5,0.529,0,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,1,0.521,9,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,2,0.521,9,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,3,0.521,9,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,4,0.521,9,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,5,0.521,9,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,1,0.52,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,2,0.52,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,3,0.52,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,4,0.52,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,5,0.52,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,1,0.519,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,2,0.519,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,3,0.519,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,4,0.519,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,5,0.519,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,1,0.514,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,2,0.514,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,3,0.514,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,4,0.514,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,5,0.514,8,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,1,0.521,7,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,2,0.521,7,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,3,0.521,7,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,4,0.521,7,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,5,0.521,7,"grace_period=100, max_depth=4, delta=1e-05",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,1,0.516,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,2,0.516,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,3,0.516,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,4,0.516,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,5,0.516,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,1,0.515,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,2,0.515,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,3,0.515,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,4,0.515,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,5,0.515,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,1,0.522,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,2,0.522,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,3,0.522,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,4,0.522,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,5,0.522,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,1,0.522,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,2,0.522,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,3,0.522,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,4,0.522,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,5,0.522,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,1,0.529,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,2,0.529,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,3,0.529,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,4,0.529,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,5,0.529,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,1,0.522,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,2,0.52,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,3,0.522,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,4,0.522,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,5,0.525,3,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,200,1,0.518,3,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,200,2,0.519,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,200,3,0.52,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,200,4,0.524,3,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,200,5,0.519,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,500,1,0.522,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,500,2,0.523,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,500,3,0.522,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,500,4,0.522,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,500,5,0.522,3,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,1000,1,0.519,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,1000,2,0.522,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,1000,3,0.521,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,1000,4,0.521,3,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,1000,5,0.52,4,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,2000,1,0.526,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,2000,2,0.525,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,2000,3,0.528,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,2000,4,0.526,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,2000,5,0.526,3,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,1,0.514,36,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,2,0.514,36,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,3,0.514,36,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,4,0.514,36,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,100,5,0.514,36,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,1,0.51,35,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,2,0.51,35,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,3,0.51,35,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,4,0.51,35,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,200,5,0.51,35,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,1,0.511,34,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,2,0.511,34,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,3,0.511,34,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,4,0.511,34,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,500,5,0.511,34,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,1,0.512,33,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,2,0.512,33,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,3,0.512,33,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,4,0.512,33,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,1000,5,0.512,33,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,1,0.513,29,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,2,0.513,29,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,3,0.513,29,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,4,0.513,29,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,dummydriftdetector,selectkbest,2000,5,0.513,29,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,1,0.523,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,2,0.523,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,3,0.523,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,4,0.523,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,100,5,0.523,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,1,0.526,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,2,0.526,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,3,0.526,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,4,0.526,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,200,5,0.526,1,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,1,0.52,3,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,2,0.52,3,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,3,0.52,3,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,4,0.52,3,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,500,5,0.52,3,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,1,0.516,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,2,0.516,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,3,0.516,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,4,0.516,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,1000,5,0.516,2,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,1,0.529,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,2,0.529,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,3,0.529,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,4,0.529,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,pagehinkley,selectkbest,2000,5,0.529,0,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,1,0.521,9,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,2,0.521,9,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,3,0.521,9,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,4,0.521,9,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,100,5,0.521,9,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,1,0.52,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,2,0.52,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,3,0.52,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,4,0.52,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,200,5,0.52,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,1,0.519,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,2,0.519,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,3,0.519,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,4,0.519,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,500,5,0.519,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,1,0.514,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,2,0.514,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,3,0.514,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,4,0.514,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,1000,5,0.514,8,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,1,0.521,7,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,2,0.521,7,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,3,0.521,7,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,4,0.521,7,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,bollingerband,selectkbest,2000,5,0.521,7,"grace_period=100, max_depth=4, delta=1e-07",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,1,0.516,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,2,0.516,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,3,0.516,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,4,0.516,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,100,5,0.516,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,1,0.515,1,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,2,0.515,1,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,3,0.515,1,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,4,0.515,1,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,200,5,0.515,1,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,1,0.522,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,2,0.522,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,3,0.522,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,4,0.522,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,500,5,0.522,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,1,0.522,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,2,0.522,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,3,0.522,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,4,0.522,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,1000,5,0.522,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,1,0.529,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,2,0.529,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,3,0.529,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,4,0.529,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,adwin,selectkbest,2000,5,0.529,0,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,1,0.521,5,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,2,0.518,6,"grace_period=100, max_depth=8, delta=0.001",AAPL
hoeffdingtreeclassifier,kswin,selectkbest,100,3,0.529,4,"grace_period=100, max_depth=8, delta=0.001",AAPL
